seed,fold,epoch,n_train,n_val,train_total,train_ce_region,train_dice_region,train_bce_binary,train_dice_binary,train_bce_boundary,train_dice_boundary,train_bce_inter,train_dice_inter,train_bce_curve,train_dice_curve,train_mse_curve,val_total,val_ce_region,val_dice_region,val_bce_binary,val_dice_binary,val_bce_boundary,val_dice_boundary,val_bce_inter,val_dice_inter,val_bce_curve,val_dice_curve,val_mse_curve,val_curve_heatmap_mae,val_curve_heatmap_mse,val_curve_heatmap_softdice
42,1,1,199,50,5.812525234222412,3.1782265663146974,0.9901855909824371,0.6906762611865997,0.7717165946960449,0.6881162786483764,0.942120349407196,0.8641602349281311,0.9337409174442292,0.7307394456863403,0.9499186110496521,0.25725987285375596,5.476068166586069,2.8890305299025316,0.9906729138814486,0.6575339986727788,0.7724204659461975,0.654216271180373,0.9429503816824693,0.8099544506806594,0.9353212255697984,0.717279851436615,0.9488450105373676,0.2505018435991727,0.49336158770781297,0.2505018435991727,0.05117608492191021
42,1,2,199,50,5.414528913497925,2.8504031562805174,0.989956053495407,0.6535657036304474,0.7666365361213684,0.6500867295265198,0.941330075263977,0.7882774424552917,0.9349720799922943,0.6886181128025055,0.951245676279068,0.23632872790098192,5.310623829181377,2.7663368995373068,0.9900710261785067,0.6533873952352084,0.7625805414639987,0.6387488979559678,0.9428592232557443,0.7679876685142517,0.9353791750394381,0.6683482573582575,0.9502286590062655,0.2261470533334292,0.4682216208714705,0.2261470533334292,0.04978869712123504
42,1,3,199,50,5.2478393459320065,2.7091718196868895,0.9899606740474701,0.6455330872535705,0.7624854719638825,0.64660973072052,0.9403828227519989,0.7708416020870209,0.9354920709133148,0.6502475619316102,0.9518456399440766,0.21740759015083314,5.221807809976431,2.700168939737173,0.9892006608156058,0.6337365874877343,0.748835196861854,0.6368583073982825,0.943004663173969,0.7734509156300471,0.9342036155553964,0.6385758840120755,0.9507292692477887,0.21106243248169237,0.4506508708000183,0.21106243248169237,0.04927108264886416
42,1,4,199,50,5.093432197570801,2.5880896043777466,0.9899401938915253,0.6193272185325622,0.7563032555580139,0.6353145432472229,0.9391321170330048,0.7537834298610687,0.9352631294727325,0.6201358950138092,0.9517087233066559,0.2026351174712181,4.935604608975924,2.4512413831857534,0.9904197821250329,0.5992065622256353,0.7573988896149856,0.6231736128146832,0.9410184851059546,0.7474228189541743,0.9346129619158231,0.5999632248511682,0.951082339653602,0.19278124089424425,0.4308326358978565,0.19278124089424425,0.048921730082768664
42,1,5,199,50,4.950455780029297,2.4760200786590576,0.989752391576767,0.5941371417045593,0.7488224971294403,0.6254817497730255,0.9388453757762909,0.7419733095169068,0.935526831150055,0.5904239404201508,0.950593831539154,0.1880778455734253,4.84670980160053,2.3912760477799635,0.9895811356030978,0.575902099792774,0.7401268252959619,0.6229974627494812,0.9399116864571204,0.7307179340949426,0.9350757736426133,0.5772680227573102,0.9492146968841553,0.18164362471837264,0.4176389437455397,0.18164362471837264,0.05078917254622166
42,1,6,199,50,4.782628526687622,2.3471952199935915,0.9895929360389709,0.5661174619197845,0.7406055295467376,0.6064526295661926,0.9374844217300415,0.7195716559886932,0.9361597168445587,0.5630883371829987,0.9486152553558349,0.17512576401233673,4.723491448622483,2.3153263605557957,0.988711247077355,0.5469240958874042,0.7237089413862962,0.5895713292635404,0.9408507576355567,0.7045453970248883,0.9351795453291672,0.5574380021828872,0.9457664489746094,0.17101006324474627,0.4033671159010667,0.17101006324474627,0.054259238907924064
42,1,7,199,50,4.629136333465576,2.235668363571167,0.9893950533866882,0.5398611986637115,0.7330822968482971,0.5806837248802185,0.936019766330719,0.6931012964248657,0.9362914991378785,0.5380759191513061,0.9455549466609955,0.16340533047914504,4.531634917626014,2.158645886641282,0.9896909915483915,0.5315707325935364,0.7361636345203106,0.5685914754867554,0.9377611233637884,0.6784530373720022,0.9350161598278925,0.5138989549416763,0.9443462307636554,0.1520515393752318,0.37971983964626604,0.1520515393752318,0.05570782291201445
42,1,8,199,50,4.474789123535157,2.122574791908264,0.9889168608188629,0.5159515535831452,0.7232317185401916,0.5582770490646363,0.9347339689731597,0.6627588677406311,0.9354597949981689,0.5143477535247802,0.9431883871555329,0.152441026866436,4.334795695084792,2.017746769464933,0.9884054614947393,0.4947239848283621,0.7111707834097055,0.5368487605681787,0.9369277587303748,0.6448762325140146,0.9343495002159705,0.49248250401937044,0.9406428107848535,0.14213788050871629,0.36604947539476246,0.14213788050871629,0.0593818431863418
42,1,9,199,50,4.328714780807495,2.019222869873047,0.9885201525688171,0.48910232007503507,0.7111518120765686,0.5322535622119904,0.9338814175128937,0.6327072501182556,0.9347141063213349,0.4949349504709244,0.9409960222244262,0.14366775512695312,4.245064405294565,1.9587110372690053,0.9881736590312078,0.4772250789862413,0.7023903727531433,0.5210310083169204,0.9355188837418189,0.621003678211799,0.9330080059858469,0.47687044510474574,0.9383616401599004,0.13533920278915992,0.35587810094539934,0.13533920278915992,0.0617077832038586
42,1,10,199,50,4.179635162353516,1.9156882452964783,0.9880558764934539,0.4598508459329605,0.6931328046321868,0.5067840135097503,0.9332816624641418,0.6083155632019043,0.9337879848480225,0.47042939722537996,0.9388317537307739,0.13263246893882752,4.0548571439889765,1.819710869055528,0.9882490359819852,0.4429977329877707,0.6900992897840647,0.4895294767159682,0.9357123787586505,0.5895889768233666,0.9315715432167053,0.44716063141822815,0.9376388696523813,0.12215171868984516,0.336819962813304,0.12215171868984516,0.0623986440209242
